Source sentence,Answer sentence
what restaurant serves tapas on forbes road that has celebrities visiting often,what is not a named entity .
what restaurant serves tapas on forbes road that has celebrities visiting often,restaurant is not a named entity .
what restaurant serves tapas on forbes road that has celebrities visiting often,serves is not a named entity .
what restaurant serves tapas on forbes road that has celebrities visiting often,tapas is a Dish entity .
what restaurant serves tapas on forbes road that has celebrities visiting often,on is not a named entity .
what restaurant serves tapas on forbes road that has celebrities visiting often,forbes road is a Location entity .
what restaurant serves tapas on forbes road that has celebrities visiting often,that is not a named entity .
what restaurant serves tapas on forbes road that has celebrities visiting often,has is not a named entity .
what restaurant serves tapas on forbes road that has celebrities visiting often,celebrities visiting often is a Amenity entity .
can you find a restaurant near downtown that serves french cuisine,can is not a named entity .
can you find a restaurant near downtown that serves french cuisine,you is not a named entity .
can you find a restaurant near downtown that serves french cuisine,find is not a named entity .
can you find a restaurant near downtown that serves french cuisine,a is not a named entity .
can you find a restaurant near downtown that serves french cuisine,restaurant is not a named entity .
can you find a restaurant near downtown that serves french cuisine,near downtown is a Location entity .
can you find a restaurant near downtown that serves french cuisine,that is not a named entity .
can you find a restaurant near downtown that serves french cuisine,serves is not a named entity .
can you find a restaurant near downtown that serves french cuisine,french is a Cuisine entity .
can you find a restaurant near downtown that serves french cuisine,cuisine is not a named entity .
navigate me to a good thai restaurant,navigate is not a named entity .
navigate me to a good thai restaurant,me is not a named entity .
navigate me to a good thai restaurant,to is not a named entity .
navigate me to a good thai restaurant,a is not a named entity .
navigate me to a good thai restaurant,good is a Rating entity .
navigate me to a good thai restaurant,thai is a Cuisine entity .
navigate me to a good thai restaurant,restaurant is not a named entity .
is there a cafe rio within ten miles that is not expensive,is is not a named entity .
is there a cafe rio within ten miles that is not expensive,there is not a named entity .
is there a cafe rio within ten miles that is not expensive,a is not a named entity .
is there a cafe rio within ten miles that is not expensive,cafe rio is a Restaurant_Name entity .
is there a cafe rio within ten miles that is not expensive,within ten miles is a Location entity .
is there a cafe rio within ten miles that is not expensive,that is not a named entity .
is there a cafe rio within ten miles that is not expensive,is is not a named entity .
is there a cafe rio within ten miles that is not expensive,not expensive is a Price entity .
do you know if the chinese restaurant on king street have outdoor parking,do is not a named entity .
do you know if the chinese restaurant on king street have outdoor parking,you is not a named entity .
do you know if the chinese restaurant on king street have outdoor parking,know is not a named entity .
do you know if the chinese restaurant on king street have outdoor parking,if is not a named entity .
do you know if the chinese restaurant on king street have outdoor parking,the is not a named entity .
do you know if the chinese restaurant on king street have outdoor parking,chinese is a Cuisine entity .
do you know if the chinese restaurant on king street have outdoor parking,restaurant is not a named entity .
do you know if the chinese restaurant on king street have outdoor parking,on is not a named entity .
do you know if the chinese restaurant on king street have outdoor parking,king street is a Location entity .
do you know if the chinese restaurant on king street have outdoor parking,have is not a named entity .
do you know if the chinese restaurant on king street have outdoor parking,outdoor parking is a Amenity entity .
is kostas pizza and seafood cheap,is is not a named entity .
