Source sentence,Answer sentence
please find a movie starring al pacino as a blind veteran,please is not a named entity .
please find a movie starring al pacino as a blind veteran,find is not a named entity .
please find a movie starring al pacino as a blind veteran,a is not a named entity .
please find a movie starring al pacino as a blind veteran,movie is not a named entity .
please find a movie starring al pacino as a blind veteran,starring is not a named entity .
please find a movie starring al pacino as a blind veteran,al pacino is a ACTOR entity .
please find a movie starring al pacino as a blind veteran,as is not a named entity .
please find a movie starring al pacino as a blind veteran,a is not a named entity .
please find a movie starring al pacino as a blind veteran,blind veteran is a CHARACTER entity .
who is in justin time,who is not a named entity .
who is in justin time,is is not a named entity .
who is in justin time,in is not a named entity .
who is in justin time,justin time is a TITLE entity .
what was the title of the movie of julia roberts academy award winning perfrmance,what is not a named entity .
what was the title of the movie of julia roberts academy award winning perfrmance,was is not a named entity .
what was the title of the movie of julia roberts academy award winning perfrmance,the is not a named entity .
what was the title of the movie of julia roberts academy award winning perfrmance,title is not a named entity .
what was the title of the movie of julia roberts academy award winning perfrmance,of is not a named entity .
what was the title of the movie of julia roberts academy award winning perfrmance,the is not a named entity .
what was the title of the movie of julia roberts academy award winning perfrmance,movie is not a named entity .
what was the title of the movie of julia roberts academy award winning perfrmance,of is not a named entity .
what was the title of the movie of julia roberts academy award winning perfrmance,julia roberts is a ACTOR entity .
what was the title of the movie of julia roberts academy award winning perfrmance,academy award winning perfrmance is a REVIEW entity .
who created the soundtrak for star wars,who is not a named entity .
who created the soundtrak for star wars,created is not a named entity .
who created the soundtrak for star wars,the is not a named entity .
who created the soundtrak for star wars,soundtrak is a SONG entity .
who created the soundtrak for star wars,for is not a named entity .
who created the soundtrak for star wars,star wars is a TRAILER entity .
who was the voice of ariel in the little mermaid,who is not a named entity .
who was the voice of ariel in the little mermaid,was is not a named entity .
who was the voice of ariel in the little mermaid,the is not a named entity .
who was the voice of ariel in the little mermaid,voice is not a named entity .
who was the voice of ariel in the little mermaid,of is not a named entity .
who was the voice of ariel in the little mermaid,ariel is a CHARACTER entity .
who was the voice of ariel in the little mermaid,in is not a named entity .
who was the voice of ariel in the little mermaid,the is not a named entity .
who was the voice of ariel in the little mermaid,little mermaid is a TITLE entity .
find clips of men in black ii,find is not a named entity .
find clips of men in black ii,clips is a TRAILER entity .
find clips of men in black ii,of is not a named entity .
find clips of men in black ii,men in black ii is a TITLE entity .
what is the plot of red tails,what is not a named entity .
what is the plot of red tails,is is not a named entity .
what is the plot of red tails,the is not a named entity .
what is the plot of red tails,plot is not a named entity .
what is the plot of red tails,of is not a named entity .
what is the plot of red tails,red tails is a TITLE entity .
do you know of any movie that had come what may in its soundtrack,do is not a named entity .
do you know of any movie that had come what may in its soundtrack,you is not a named entity .
do you know of any movie that had come what may in its soundtrack,know is not a named entity .
do you know of any movie that had come what may in its soundtrack,of is not a named entity .
do you know of any movie that had come what may in its soundtrack,any is not a named entity .
do you know of any movie that had come what may in its soundtrack,movie is not a named entity .
do you know of any movie that had come what may in its soundtrack,that is not a named entity .
do you know of any movie that had come what may in its soundtrack,had is not a named entity .
do you know of any movie that had come what may in its soundtrack,come what may is a SONG entity .
do you know of any movie that had come what may in its soundtrack,in is not a named entity .
do you know of any movie that had come what may in its soundtrack,its is not a named entity .
do you know of any movie that had come what may in its soundtrack,soundtrack is not a named entity .
i want to know what movies have the song come what may,i is not a named entity .
i want to know what movies have the song come what may,want is not a named entity .
i want to know what movies have the song come what may,to is not a named entity .
i want to know what movies have the song come what may,know is not a named entity .
i want to know what movies have the song come what may,what is not a named entity .
i want to know what movies have the song come what may,movies is not a named entity .
i want to know what movies have the song come what may,have is not a named entity .
i want to know what movies have the song come what may,the is not a named entity .
i want to know what movies have the song come what may,song is not a named entity .
i want to know what movies have the song come what may,come what may is a SONG entity .
show me the half baked soundtrack,show is not a named entity .
show me the half baked soundtrack,me is not a named entity .
show me the half baked soundtrack,the is not a named entity .
show me the half baked soundtrack,half baked soundtrack is a SONG entity .
find me a list of bette midler movies from the 1980s,find is not a named entity .
find me a list of bette midler movies from the 1980s,me is not a named entity .
find me a list of bette midler movies from the 1980s,a is not a named entity .
find me a list of bette midler movies from the 1980s,list is not a named entity .
find me a list of bette midler movies from the 1980s,of is not a named entity .
find me a list of bette midler movies from the 1980s,bette midler is a ACTOR entity .
find me a list of bette midler movies from the 1980s,movies is not a named entity .
find me a list of bette midler movies from the 1980s,from is not a named entity .
find me a list of bette midler movies from the 1980s,the is not a named entity .
find me a list of bette midler movies from the 1980s,1980s is a YEAR entity .
get a yul brenner western,get is not a named entity .
get a yul brenner western,a is not a named entity .
get a yul brenner western,yul brenner is a ACTOR entity .
get a yul brenner western,western is a GENRE entity .
play trailer on stranger tides,play is not a named entity .
play trailer on stranger tides,trailer is a TRAILER entity .
play trailer on stranger tides,on stranger tides is a TITLE entity .
who played james bond in goldfinger,who is not a named entity .
who played james bond in goldfinger,played is not a named entity .
who played james bond in goldfinger,james bond is a CHARACTER entity .
who played james bond in goldfinger,in is not a named entity .
who played james bond in goldfinger,goldfinger is a TITLE entity .
what is an ok pg 13 adventure directed by mac carter,what is not a named entity .
what is an ok pg 13 adventure directed by mac carter,is is not a named entity .
what is an ok pg 13 adventure directed by mac carter,an is not a named entity .
what is an ok pg 13 adventure directed by mac carter,ok is a RATINGS_AVERAGE entity .
what is an ok pg 13 adventure directed by mac carter,pg 13 is a RATING entity .
what is an ok pg 13 adventure directed by mac carter,adventure is a GENRE entity .
what is an ok pg 13 adventure directed by mac carter,directed is not a named entity .
what is an ok pg 13 adventure directed by mac carter,by is not a named entity .
what is an ok pg 13 adventure directed by mac carter,mac carter is a DIRECTOR entity .
who is the main character of a bronx tale,who is not a named entity .
who is the main character of a bronx tale,is is not a named entity .
who is the main character of a bronx tale,the is not a named entity .
who is the main character of a bronx tale,main is a CHARACTER entity .
who is the main character of a bronx tale,character is not a named entity .
who is the main character of a bronx tale,of is not a named entity .
who is the main character of a bronx tale,a bronx tale is a TITLE entity .
find a preview for a elizabeth perkins period piece movie,find is not a named entity .
find a preview for a elizabeth perkins period piece movie,a is not a named entity .
find a preview for a elizabeth perkins period piece movie,preview is a TRAILER entity .
find a preview for a elizabeth perkins period piece movie,for is not a named entity .
find a preview for a elizabeth perkins period piece movie,a is not a named entity .
find a preview for a elizabeth perkins period piece movie,elizabeth perkins is a ACTOR entity .
find a preview for a elizabeth perkins period piece movie,period piece is a PLOT entity .
find a preview for a elizabeth perkins period piece movie,movie is not a named entity .
looking for the movie with broderick crawford as the governor of louisiana,looking is not a named entity .
looking for the movie with broderick crawford as the governor of louisiana,for is not a named entity .
looking for the movie with broderick crawford as the governor of louisiana,the is not a named entity .
looking for the movie with broderick crawford as the governor of louisiana,movie is not a named entity .
looking for the movie with broderick crawford as the governor of louisiana,with is not a named entity .
looking for the movie with broderick crawford as the governor of louisiana,broderick crawford is a ACTOR entity .
looking for the movie with broderick crawford as the governor of louisiana,as is not a named entity .
looking for the movie with broderick crawford as the governor of louisiana,the is not a named entity .
looking for the movie with broderick crawford as the governor of louisiana,governor of louisiana is a CHARACTER entity .
